name,address,city,state,zip,inspection_score
baiano pizzeria,100 gough st,San Francisco,CA,94102,94.0
woolf house senior center,801 howard st . #413,San Francisco,CA,94103,100.0
events management @ deyoung museum,50 so tea garden dr,San Francisco,CA,94118,100.0
fig & thistle market,691 14th st,San Francisco,CA,94114,100.0
mission bowling club,3176 17th st,San Francisco,CA,94110,90.0
noori,1924 irving st,San Francisco,CA,94122,83.0
lee's deli,235 montgomery st,San Francisco,CA,94104,67.0
s & p concessions - mv napa,ferry plaza pier,San Francisco,CA,94111,100.0
trestle,531 jackson st,San Francisco,CA,94133,94.0
waterfront bakery,2801 leavenworth st,San Francisco,CA,94133,94.0
"binis kitchen, llc",1 post st,San Francisco,CA,94104,94.0
day darmet catering,1068 revere ave,San Francisco,CA,94124,84.0
eight am,1323 columbus ave,San Francisco,CA,94133,89.0
s & p concessions-ms marin,ferry plaza pier,San Francisco,CA,94111,100.0
evergreen garden restaurant,3100 18th st,San Francisco,CA,94110,81.0
s & p concessions - mendocino,ferry plaza - pier 1,San Francisco,CA,94111,98.0
s & p concessions - mv golden gate ferry,ferry plaza pier,San Francisco,CA,94111,98.0
intercontinental san francisco employee cafeteria,888 howard st 2nd floor,San Francisco,CA,94013,100.0
scopo divino,2800 california st  unit 101,San Francisco,CA,94115,92.0
golden horse restaurant,1060 hyde st,San Francisco,CA,94109,79.0
osaka sushi,460 castro st,San Francisco,CA,94114,87.0
sotto mare oysteria & seafood,552 green st,San Francisco,CA,94133,86.0
jay's cheesesteak,3285 21st st,San Francisco,CA,94110,89.0
tataki sushi & sake bar,2827 california st,San Francisco,CA,94115,85.0
7 eleven #2366-36039a,644 mission st,San Francisco,CA,94105,92.0
the grove fillmore,2016 fillmore st,San Francisco,CA,94115,89.0
intercontinental san francisco 5th fl. kitchen,888 howard st 5th floor,San Francisco,CA,94103,100.0
serrano's pizza ii,3274 21st st,San Francisco,CA,94110,80.0
bon nene,2850 21st st,San Francisco,CA,94110,90.0
intercontinental san francisco club lounge,888 howard st 6th floor,San Francisco,CA,94103,100.0
